keys,es,en
CTRL_SECTION_DEVICE,DISPOSITIVO,DEVICE
CTRL_SECTION_FLIGHT,EJES DE VUELO,FLIGHT AXES
CTRL_SECTION_LIVE,VISTA EN VIVO,LIVE VIEW
CTRL_SUBTITLE,"Elegí el mando, calibrá los sticks y asigná cada acción.","Pick your controller, calibrate the sticks and bind every action."
CTRL_TITLE,Controles,Controls
CTRL_UNBOUND,Sin asignar,Unbound
CTRL_UNCALIBRATED,Sin calibrar,Not calibrated
ENEMY_ARACHNODROID,Arachnodroid,Arachnodroid
ERR_ARM_NO_ENERGY,Sin energía,No energy
ERR_ARM_RECOVERING,Recuperando…,Recovering…
ERR_ARM_THROTTLE_HIGH,Bajá el acelerador para armar,Lower the throttle to arm
ERR_AUDIO_OPEN,No se pudo abrir la configuración de audio. Se cargan los valores por defecto.,Could not open the audio configuration file. The default settings will be loaded.
ERR_AUDIO_PARSE,No se pudo leer la configuración de audio. Se cargan los valores por defecto.,Failed to read the audio configuration file. The default settings will be loaded.
ERR_CONFIG_AUDIO,No se pudo leer la configuración de audio. Se cargan los valores por defecto.,Could not read the audio settings. The default values will be loaded.
ERR_CONFIG_GAME,No se pudo leer la configuración del juego. Se cargan los valores por defecto.,Could not read the game settings. The default values will be loaded.
ERR_CONFIG_GRAPHICS,No se pudo leer la configuración gráfica. Se cargan los valores por defecto.,Could not read the graphics settings. The default values will be loaded.
ERR_CONFIG_INPUT,No se pudo leer la configuración de controles. Se cargan los valores por defecto.,Could not read the controls settings. The default values will be loaded.
ERR_CONFIG_QUAD,No se pudo leer la configuración del dron. Se cargan los valores por defecto.,Could not read the drone settings. The default values will be loaded.
ERR_CONTROLLER_NOT_FOUND,No se encontró el mando %s.\nRevisá que esté conectado o elegí otro en la pantalla de Controles.,"%s not found!\nPlease check it is properly plugged in, or head to the Controls settings to update your controller."
ERR_CONTROLS_OPEN,No se pudo abrir la configuración de controles. Revisá la pantalla de Controles.,Could not open the controls configuration file. Please check the Controls settings.
ERR_ENEMY_FUNCTION_UNKNOWN,Una parte del enemigo declara una función desconocida.,An enemy part declares an unknown function.
ERR_ENEMY_LEG_INCOMPLETE,Una pata del enemigo está incompleta: le falta un segmento o el pie.,An enemy leg is incomplete: a segment or the foot is missing.
ERR_ENEMY_NO_MODEL,El enemigo no trae el nodo Model con el modelo importado.,The enemy is missing the Model node with the imported model.
ERR_ENEMY_NO_PROFILE,El enemigo no tiene ficha de configuración.,The enemy has no configuration profile.
ERR_ENEMY_PART_NO_BODY,Una parte del enemigo llegó sin colisionador y no recibe daño.,An enemy part arrived without a collider and cannot take damage.
ERR_ENEMY_WP_NO_PROFILE,Un punto débil del enemigo no tiene ficha y queda como carcasa blindada.,An enemy weak point has no profile and stays as plain armour.
ERR_GRAPHICS_OPEN,No se pudo abrir la configuración gráfica. Se cargan los valores por defecto.,Could not open the graphics configuration file. The default settings will be loaded.
ERR_GRAPHICS_PARSE,No se pudo leer la configuración gráfica. Se cargan los valores por defecto.,Failed to read the graphics configuration file. The default settings will be loaded.
ERR_SETTINGS_OPEN,No se pudo abrir el archivo de ajustes. Se cargan los valores por defecto.,"Error loading the settings file, the default settings will be loaded."
ERR_SETTINGS_PARSE,No se pudo leer el archivo de ajustes. Se cargan los valores por defecto.,"Error parsing the settings file, the default settings will be loaded."
GAME_AIM_ASSIST,Asistencia de puntería,Aim assist
GAME_AIM_ASSISTED,Asistida,Assisted
GAME_AIM_OFF,Sin asistencia,Off
GAME_AIM_SUBTLE,Sutil,Subtle
GAME_LANGUAGE,Idioma,Language
GAME_SECTION_INTERFACE,INTERFAZ,INTERFACE
GAME_SECTION_SCENERY,ESCENARIO,SCENERY
GAME_SHAKE,Sacudida de cámara,Camera shake
GAME_STICK_NAVIGATION,Navegación con sticks,Stick navigation
GAME_STICK_NAVIGATION_BETAFLIGHT,Estilo Betaflight,Betaflight style
GAME_STICK_NAVIGATION_HELP_BETAFLIGHT,"Como el menú OSD de Betaflight: pitch arriba y abajo para moverte, roll a la derecha para aceptar y roll a la izquierda para volver. Sobre un deslizador o una lista, roll ajusta el valor. El acelerador nunca navega.","Like the Betaflight OSD menu: pitch up and down to move, roll right to select and roll left to go back. On a slider or a list, roll adjusts the value. Throttle never navigates."
GAME_STICK_NAVIGATION_HELP_YAW,"Pitch arriba y abajo para moverte, roll para ajustar valores, yaw a la derecha para aceptar y yaw a la izquierda para volver. El acelerador nunca navega.","Pitch up and down to move, roll to adjust values, yaw right to select and yaw left to go back. Throttle never navigates."
GAME_STICK_NAVIGATION_YAW,Aceptar con yaw,Select with yaw
GAME_SUBTITLE,"Idioma, navegación y elementos del HUD","Language, navigation and HUD elements"
GAME_TAB_GAMEPLAY,Juego,Game
GAME_TAB_HUD,HUD,HUD
GAME_TELEGRAPH_HINTS,Avisos de ataque,Attack warnings
GAME_TITLE,Drone Survivor,Drone Survivor
GFX_BORDERLESS,Ventana sin bordes,Borderless window
GFX_FISHEYE,Lente ojo de pez,Fisheye lens
GFX_FISHEYE_FAST,Rápido,Fast
GFX_FISHEYE_FULL,Completo,Full
GFX_FISHEYE_MSAA,MSAA del ojo de pez,Fisheye MSAA
GFX_FISHEYE_RESOLUTION,Resolución del ojo de pez,Fisheye resolution
GFX_FOG,Niebla volumétrica,Volumetric fog
GFX_FULLSCREEN,Pantalla completa,Full screen
GFX_FULLSCREEN_MODE,Pantalla completa,Full screen
GFX_GI,Iluminación global,Global illumination
GFX_GI_SDFGI,SDFGI,SDFGI
GFX_MAX_FPS,Límite de FPS,FPS limit
GFX_MSAA,Antialiasing (MSAA),Antialiasing (MSAA)
GFX_MSAA_2X,2×,2×
GFX_MSAA_4X,4×,4×
GFX_MSAA_8X,8×,8×
GFX_PRESET,Preset de calidad,Quality preset
GFX_QUALITY_CUSTOM,Personalizado,Custom
GFX_QUALITY_HIGH,Alta,High
GFX_QUALITY_LOW,Baja,Low
GFX_QUALITY_MEDIUM,Media,Medium
GFX_QUALITY_ULTRA,Ultra,Ultra
GFX_QUALITY_VERY_LOW,Muy baja,Very low
GFX_RESOLUTION,Resolución,Resolution
GFX_RESOLUTION_SCALE,Escala de resolución,Resolution scale
GFX_RESTART_NOTE,Algunos cambios se aplican recién al reiniciar el juego.,Some changes only take effect after restarting the game.
GFX_SAME_AS_GAME,Igual que el juego,Same as game
GFX_SECTION_DISPLAY,PANTALLA,DISPLAY
GFX_SECTION_FPV,CÁMARA FPV,FPV CAMERA
GFX_SECTION_QUALITY,CALIDAD,QUALITY
GFX_SHADOWS,Sombras,Shadows
GFX_SSAO,Oclusión ambiental,Ambient occlusion
GFX_SUBTITLE,Los cambios se aplican y guardan al instante,Changes are applied and saved instantly
GFX_TITLE,Gráficos,Graphics
GFX_TOGGLE_FULLSCREEN,Alternar,Toggle
GFX_UNLIMITED,Sin límite,Unlimited
GFX_VSYNC,Sincronización vertical,V-Sync
GFX_VSYNC_ADAPTIVE,Adaptativa,Adaptive
GFX_WINDOW,Ventana,Window
GFX_WINDOW_MODE,Modo de ventana,Window mode
HELP_BACK_TO_HELP,Volver a la ayuda,Back to help
HELP_CITY,"La ciudad es la vida de la partida. Cada edificio que el coloso derriba baja la integridad del distrito y, si cae por debajo del 35 %, perdés la ronda. Distraerlo y romperle las patas salva más edificios que esconderse.","The city is your health bar. Every building the colossus brings down lowers the district integrity, and if it drops below 35 % you lose the round. Distracting it and breaking its legs saves more buildings than hiding does."
HELP_COMBAT,"El cañón dispara mientras mantengas el gatillo y se sobrecalienta si no lo soltás. El blindaje del coloso devuelve casi todo el daño: apuntá a lo que brilla en cian, que son sus puntos débiles, y a las rodillas, que se rompen y lo dejan rengo. Todo ataque enemigo avisa antes de golpear.","The cannon fires while you hold the trigger and overheats if you never let go. The colossus armor shrugs off almost everything: aim at whatever glows cyan, which are its weak points, and at the knees, which break and leave it limping. Every enemy attack telegraphs before it lands."
HELP_CONTROLS,"Se juega con una radio o un mando: dos sticks para volar, gatillo para disparar, un botón para armar y otro para cambiar de modo. Asigná todo en Opciones → Controles y calibrá los ejes antes del primer vuelo. Con teclado, los atajos de depuración están en esa misma pantalla.","It plays with a radio or a gamepad: two sticks to fly, a trigger to fire, one button to arm and another to switch modes. Bind everything in Options → Controls and calibrate the axes before your first flight. With a keyboard, the debug shortcuts are listed on that same screen."
HELP_CREDITS_PENDING,"Los créditos completos y las licencias de los assets, las fuentes y la música se agregan al final del proyecto, cuando estén confirmadas una por una. Mientras tanto, el botón de abajo muestra las licencias del motor Godot y de las bibliotecas que trae.","The full credits and the licenses of the assets, fonts and music are added at the end of the project, once each one has been confirmed. In the meantime, the button below shows the licenses of the Godot engine and the libraries it ships with."
HELP_ENERGY,"La batería se gasta con el vuelo y con cada disparo, y más rápido cuanto más acelerador uses. Las pilas repartidas por el distrito la recargan y reaparecen: memorizá dónde están. Si llegás a cero, el dron se desarma en el aire.","The battery drains as you fly and with every shot, and faster the more throttle you use. The battery packs scattered around the district recharge it and respawn: memorize where they are. If you hit zero the drone disarms in mid air."
HELP_FLIGHT,"El acelerador empuja hacia donde apunta el dron, así que para avanzar hay que inclinarse. En Acro los sticks mandan velocidad de giro y el dron se queda como lo dejaste; en Horizonte mandan ángulo y se nivela solo. Armá con el acelerador abajo y usá Tortuga para darte vuelta si quedás panza arriba.","Throttle pushes in whatever direction the drone is pointing, so you lean to move. In Acro the sticks command rotation rate and the drone stays as you left it; in Horizon they command angle and it levels itself. Arm with the throttle down, and use Turtle to flip back over if you land upside down."
HELP_HUD,"El visor muestra el horizonte, el rumbo, la velocidad, la altura, la energía, el casco y el calor del cañón, más la barra de integridad de la ciudad y la tarea actual. Podés encender y apagar cada elemento en Opciones → Juego y HUD.","The visor shows the horizon, heading, speed, altitude, energy, hull and cannon heat, plus the city integrity bar and the current task. You can turn each element on and off in Options → Game and HUD."
HELP_INTRO,"Pilotás un dron de carreras armado sobre una ciudad sitiada por colosos. No tenés blindaje: tenés velocidad, puntería y la paciencia de aprender dónde golpear.","You fly an armed racing drone over a city under siege by colossi. You have no armor: you have speed, aim and the patience to learn where to hit."
HELP_LICENSES,Ver licencias del motor,View engine licenses
HELP_SECTION_CITY,La ciudad,The city
HELP_SECTION_COMBAT,Combate,Combat
HELP_SECTION_CONTROLS,Controles,Controls
HELP_SECTION_CREDITS,Créditos y licencias,Credits and licenses
HELP_SECTION_ENERGY,Energía,Energy
HELP_SECTION_FLIGHT,Vuelo,Flight
HELP_SECTION_HUD,El visor,The visor
HELP_SUBTITLE,Todo lo que necesitás para volar y defender la ciudad,Everything you need to fly and defend the city
HELP_TITLE,Ayuda,Help
HUD_ALT,ALT,ALT
HUD_ALTITUDE,Altura,Altitude
HUD_ARM_FAILED_ENERGY,SIN ENERGÍA,NO POWER
HUD_ARM_FAILED_RECOVER,RECUPERACIÓN ACTIVA,RECOVERY ACTIVE
HUD_ARM_FAILED_THROTTLE,BAJÁ EL ACELERADOR,LOWER THROTTLE
HUD_BOSS_PHASE,FASE {0},PHASE {0}
HUD_CFG_ALTITUDE,Altura,Altitude
HUD_CFG_CROSSHAIR,Mira,Crosshair
HUD_CFG_FLIGHT_MODE,Modo de vuelo,Flight mode
HUD_CFG_HEADING,Rumbo,Heading
HUD_CFG_HORIZON,Línea de horizonte,Horizon line
HUD_CFG_LADDER,Escalera de cabeceo,Pitch ladder
HUD_CFG_REC,Indicador de grabación,Recording indicator
HUD_CFG_RPM,RPM de motores,Motor RPM
HUD_CFG_SIDE_TAPES,Cintas laterales,Side tapes
HUD_CFG_SPEED,Velocidad,Speed
HUD_CFG_STICKS,Visor de sticks,Stick display
HUD_CITY,CIUDAD,CITY
HUD_COMPASS,Brújula,Compass
HUD_COMPASS_E,E,E
HUD_COMPASS_N,N,N
HUD_COMPASS_NE,NE,NE
HUD_COMPASS_NW,NO,NW
HUD_COMPASS_S,S,S
HUD_COMPASS_SE,SE,SE
HUD_COMPASS_SW,SO,SW
HUD_COMPASS_W,O,W
HUD_COMPONENTS,ELEMENTOS,ELEMENTS
HUD_CROSSHAIR,Mira,Crosshair
HUD_ENERGY,ENERGÍA,ENERGY
HUD_ENERGY_LOW,ENERGÍA CRÍTICA,LOW POWER
HUD_FLIGHT_MODE,Modo de vuelo,Flight mode
HUD_GATE_MARKER,Marcador de la próxima puerta,Next gate marker
HUD_HEAT,CALOR,HEAT
HUD_HEAT_LOCK,SOBRECALENTADO,OVERHEATED
HUD_HORIZON,Línea de horizonte,Horizon line
HUD_HORIZON_ATTITUDE,Actitud del dron,Drone attitude
HUD_HORIZON_CAMERA,Real (cámara),Real (camera)
HUD_HORIZON_MODE,Horizonte,Horizon
HUD_HULL,CASCO,HULL
HUD_HZ,%d Hz,%d Hz
HUD_LADDER,Escalera de cabeceo,Pitch ladder
HUD_LOCK,FIJADO,LOCKED
HUD_MARKER_BATTERY,PILA,BATTERY
HUD_MARKER_ENEMY,HOSTIL,HOSTILE
HUD_MARKER_SIEGE,ASEDIO,UNDER SIEGE
HUD_MODE_ACRO,ACRO,ACRO
HUD_MODE_HORIZON,HORIZON,HORIZON
HUD_MODE_LAUNCH,LANZAMIENTO,LAUNCH
HUD_MODE_POSITION,POSICIÓN,POSITION
HUD_MODE_RECOVER,RECUPERACIÓN,RECOVERY
HUD_MODE_SPEED,SPEED,SPEED
HUD_MODE_TURTLE,TORTUGA,TURTLE
HUD_NUMBERS_RATE,Frecuencia de números,Numbers refresh rate
HUD_PRESET,Preset del HUD,HUD preset
HUD_PRESET_CUSTOM,Personalizado,Custom
HUD_PRESET_FULL,Completo,Full
HUD_PRESET_MINIMAL,Mínimo,Minimal
HUD_PRESET_STANDARD,Estándar,Standard
HUD_PREVIEW,Vista previa,Preview
HUD_REBUILDING,RECONSTRUYENDO,REBUILDING
HUD_REC,REC,REC
HUD_REC_INDICATOR,Indicador de grabación,Recording indicator
HUD_RESPAWN_MULTIPLIER,PUNTAJE ×{0},SCORE ×{0}
HUD_RPM,RPM de motores,Motor RPM
HUD_SIDE_TAPES,Cintas laterales,Side tapes
HUD_SPD,VEL,SPD
HUD_SPEED,Velocidad,Speed
HUD_STATUS_ARMED,ARMADO,ARMED
HUD_STATUS_DISARMED,DESARMADO,DISARMED
HUD_STATUS_LAUNCH,CONTROL DE LANZAMIENTO,LAUNCH CONTROL
HUD_STATUS_RECOVERY,RECUPERACIÓN TRAS CHOQUE,CRASH RECOVERY
HUD_STATUS_RECOVERY_MODE,MODO RECUPERACIÓN,CRASH RECOVERY MODE
HUD_STATUS_THROTTLE_HIGH,ACELERADOR ALTO,THROTTLE HIGH
HUD_STATUS_TURTLE,MODO TORTUGA,TURTLE MODE
HUD_STICKS,Visor de sticks,Stick display
HUD_TELEGRAPH_CLIMB,TREPADA,CLIMB
HUD_TELEGRAPH_EMP_PULSE,PULSO EMP,EMP PULSE
HUD_TELEGRAPH_GENERIC,ATAQUE,ATTACK
HUD_TELEGRAPH_HEAD_LASER,LÁSER,HEAD LASER
HUD_TELEGRAPH_LEG_SWEEP,BARRIDO,LEG SWEEP
HUD_TELEGRAPH_POUNCE,EMBESTIDA,POUNCE
HUD_TELEGRAPH_SHAKE_OFF,SACUDIDA,SHAKE OFF
HUD_TELEGRAPH_SIEGE_BEAM,HAZ DE ASEDIO,SIEGE BEAM
HUD_TELEGRAPH_STOMP,PISOTÓN,STOMP
HUD_UNIT_KMH,km/h,km/h
HUD_UNIT_M,m,m
HUD_UNIT_MPS,m/s,m/s
HUD_VS,VS,VS
INTRO_INCOMING,SEÑAL HOSTIL SOBRE EL DISTRITO,HOSTILE SIGNAL OVER THE DISTRICT
INTRO_SKIP_HINT,Pulsá cualquier botón para saltear,Press any button to skip
MENU_CHALLENGES,Desafíos,Challenges
MENU_FLY,Volar,Fly
MENU_FREESTYLE,Freestyle,Freestyle
MENU_HANGAR,Hangar,Hangar
MENU_HELP,Ayuda,Help
MENU_MAIN,Menú principal,Main menu
MENU_OPTIONS,Opciones,Options
MENU_PAUSED,En pausa,Paused
MENU_PAUSED_HINT,El dron te espera en el aire,Your drone is waiting in the air
MENU_PLAY,Jugar,Play
MENU_QUAD_SETTINGS,Ajustes del dron,Quad settings
MENU_QUIT,Salir,Quit
MENU_QUIT_CONFIRM,¿Salir del juego?,Quit the game?
MENU_QUIT_ROUND_CONFIRM,¿Abandonar la ronda? Se pierde el progreso.,Abandon the round? Progress will be lost.
MENU_RESUME,Continuar,Resume
MENU_RETURN_CONFIRM,¿Volver al menú principal? Se pierde la vuelta en curso.,Return to the main menu? The current lap will be lost.
MENU_RETURN_TO_MAIN,Menú principal,Main menu
MENU_SANDBOX,Sandbox (debug),Sandbox (debug)
MENU_TAGLINE,Defendé la ciudad de los colosos,Defend the city from the colossi
MENU_TUTORIAL,Instructor de vuelo,Flight instructor
OBJ_BREAK_PARTS_DESC,Las rodillas sostienen al coloso.,The knees hold the colossus up.
OBJ_BREAK_PARTS_DONE,Ya no se sostiene,It can no longer stand
OBJ_BREAK_PARTS_TITLE,Romper 3 rodillas,Break 3 knees
OBJ_DEFEAT_ENEMY_DESC,El núcleo queda expuesto cuando el coloso cae.,The core is exposed once the colossus is down.
OBJ_DEFEAT_ENEMY_DONE,Coloso destruido,Colossus destroyed
OBJ_DEFEAT_ENEMY_PROGRESS,Estructura {0} %,Structure {0}%
OBJ_DEFEAT_ENEMY_TITLE,Destruir el núcleo,Destroy the core
OBJ_DEFEND_CITY_DESC,No dejes que el coloso arrase el distrito.,Do not let the colossus flatten the district.
OBJ_DEFEND_CITY_DONE,El coloso te vio,The colossus has seen you
OBJ_DEFEND_CITY_PROGRESS,Integridad {0} %,Integrity {0}%
OBJ_DEFEND_CITY_TITLE,Contener el asedio,Hold the siege
OBJ_KEY_NEXT,Siguiente,Next
OBJ_KEY_PAUSE,Pausa,Pause
OBJ_KEY_RESTART,Reaparecer,Respawn
OBJ_LAST_DONE,Último objetivo cumplido,Last objective complete
OBJ_NEXT_SOON,Siguiente objetivo…,Next objective…
OBJ_STEP_OF,Objetivo %d de %d,Objective %d of %d
OBJ_STICK_LEFT,Izquierdo,Left
OBJ_STICK_RIGHT,Derecho,Right
OBJ_SURVIVE_TIME_DESC,Aguantá hasta que llegue el refuerzo.,Hold out until backup arrives.
OBJ_SURVIVE_TIME_DONE,Aguantaste,You held out
OBJ_SURVIVE_TIME_TITLE,Sobrevivir,Survive
OBJ_WARN_NO_JOYPAD,Conectá un mando para volar,Connect a controller to fly
OBJ_WARN_RECOVER,Recuperación activa: soltá los sticks,Recovery active: release the sticks
OBJ_WARN_TIPPED,El dron está volcado,The drone is tipped over
OPT_AUDIO,Audio,Audio
OPT_CONTROLS,Controles,Controls
OPT_GAME,Juego y HUD,Game and HUD
OPT_GRAPHICS,Gráficos,Graphics
OPT_SUBTITLE,Ajustá el juego a tu gusto,Make the game yours
OPT_TITLE,Opciones,Options
QUAD_ACRO_PLUS,Acro+,Acro+
QUAD_BATTERY_WEIGHT,Peso de batería,Battery weight
QUAD_CAMERA_ANGLE,Ángulo de cámara,Camera angle
QUAD_CENTER_RATE,Center Rate,Center Rate
QUAD_CURVE_ACTUAL,Actual,Actual
QUAD_CURVE_BETAFLIGHT,Betaflight,Betaflight
QUAD_CURVE_KISS,KISS,KISS
QUAD_CURVE_QUICKRATES,Quick Rates,Quick Rates
QUAD_CURVE_RACEFLIGHT,Raceflight,Raceflight
QUAD_DRY_WEIGHT,Peso en seco,Dry weight
QUAD_EXPO,Expo,Expo
QUAD_FOV,Campo de visión FPV,FPV field of view
QUAD_GRAPH,Curvas,Curves
QUAD_HELP_ACTUAL_EXPO,Expo: reparte la diferencia entre Center Rate y Max Rate a lo largo del recorrido.\nCon 0 la curva sube de forma progresiva desde el centro. Con valores altos se mantiene\ncerca de Center Rate en gran parte del recorrido y la subida se concentra en los extremos:\nprecisión en el centro sin renunciar a un máximo alto. Orientativo: 0.3.,Expo: spreads the difference between Center Rate and Max Rate along the stick travel.\nWith 0 the curve rises progressively from the center. With high values it stays\nclose to Center Rate for most of the travel and the rise is concentrated at the ends:\nprecision in the center without giving up a high maximum. Guide: 0.3.
QUAD_HELP_ACTUAL_RATE,"Max Rate: velocidad de giro con el stick a fondo, en grados por segundo.\nDefine lo rápido que podés hacer un flip: a 360 un giro completo tarda 1 segundo.\nDebe ser mayor que Center Rate; si son iguales, la curva es una recta y Expo no hace nada.\nOrientativo: 400 para aprender, 670 es el valor por defecto de Betaflight.","Max Rate: rotation speed with the stick at full deflection, in degrees per second.\nIt defines how fast you can flip: at 360 a full turn takes 1 second.\nIt must be higher than Center Rate; if they are equal the curve is a straight line and Expo does nothing.\nGuide: 400 to learn, 670 is the Betaflight default."
QUAD_HELP_ACTUAL_RC,"Center Rate: sensibilidad cerca del centro, en grados por segundo.\nAl 10 % de stick obtenés el 10 % de este valor. Es el número que más define\nla sensación en vuelo normal, porque casi siempre volás cerca del centro.\nOrientativo: 70-100 para empezar, hasta 200 para pilotos ágiles.","Center Rate: sensitivity around the center, in degrees per second.\nAt 10 % stick you get 10 % of this value. It is the number that most defines\nhow normal flight feels, because you almost always fly near the center.\nGuide: 70-100 to start, up to 200 for agile pilots."
QUAD_HELP_BATTERY_WEIGHT,"Peso de la batería, en gramos. Se suma al peso en seco.\nOrientativo: una LiPo 4S de 1300 mAh pesa unos 180 g; una 6S de 1100 mAh, unos 200 g.","Battery weight, in grams. It adds to the dry weight.\nGuide: a 4S 1300 mAh LiPo weighs about 180 g; a 6S 1100 mAh one, about 200 g."
